id,title,director,writer,actors,score,style1,style2,style3,country,language,release_date,running_time,Introduction,img
3616,B+侦探,彭顺,彭顺,郭富城  廖启智  徐正溪  龚蓓苾  张兆辉,5.8,剧情,悬疑,惊悚,中国香港 ,粤语 ,2011,100,故事接着《C+侦探》展开。阿探（郭富城饰）的破案能力得到了充分证明，好友风泽（廖启智饰）也倍感风光，但风泽却在警局内仍不得志，被调到以争功闻名的卢长官（谭耀文饰）手下。风泽调任不久，辖区内便发生连环凶案，先后四名死者互无关联，且凶手同样在现场留下了颇为刻意的线索。阿探协助风泽，在卢长官的白眼下提出了凶手的多种可能，最后初步锁定凶手为一名精神分裂症患者。在排查期间，嫌疑犯梁伟业（张兆辉饰）病发劫持人质，阿探施计将其擒获，但遗憾的发现梁并非真凶。不久，阿探被卢警官的手下恐吓，而风泽又被人撞伤，怒不可遏的阿探找到卢警官，却被告知这个嫌疑犯的攻击性超出他的想象……,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p986355464.jpg
3617,回到中国,丁怡瑱,丁怡瑱,安娜·阿卡娜  吴耀汉  陈凌  胡凯莉  布兰妮·芮妮·费纳摩尔,5.1,剧情,,,美国 ,英语 ,2019,95,阿卡娜饰一个娇生惯养的洛杉矶华裔富家女孩SashaLi，想在时尚圈找到工作但没成，爸爸(吴耀汉饰演)阻止她继续坐吃山空，把女儿送回他在中国的家庭玩具厂工作。Sasha起初很不适应，后来慢慢和疏远已久的姐姐(陈凌饰演)亲密起来，也学会了自己赚钱、虚心劳动。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549971154.jpg
3618,极速天使,马楚成,马楚成,汤唯  刘若英  林志颖  韩在硕  张柏芝,5,剧情,动作,,中国大陆 ,汉语普通话,2011,117,一年前，出色车手韩冰（刘若英饰）因未婚夫背弃自己、选择和她在流光速车队的搭档游镁（张柏芝饰）牵手而遭受精神打击。如今，流光速车队教练高峰（韩宰硕饰）再次找到沉溺于酒精的韩冰，邀请她参加亚洲巾帼杯大赛，并带来了出租车司机出身的新队员小依（汤唯饰）。小依因心理紧张而迟迟不能进入状态，此时游镁归队与韩冰再度搭档。流光速车队的老对手樱冥殿车队在韩冰昔日未婚夫鬼冢的主持下高调登场，并将游镁招致麾下以致流光速再无寻找队员的时间。流光速只剩推出韩冰和小依搭档的唯一选择，而小依却又车祸受伤，流光速如何突破重重阻碍重现辉煌？,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1516386736.jpg
3619,临时演员,钱江汉,,郑恺  热依扎  郭晓东  殷桃  詹瑞文,3.7,喜剧,爱情,,中国大陆,汉语普通话,2017,93,梁丹妮（热依扎饰）是演艺圈里冉冉升起的一颗新星，有着持续升温的人气和无量的前途。然而，一场意外的发生让狗仔记者们拍到了她和一个名为李非凡（郑恺饰）的男子在旅店的亲密照，虽然这一切只是一场误会，但一切澄清和洗白都为时已晚。  实际上，梁丹妮已经有了一位交往已久的男友——地产富商石非凡（郭晓冬饰），为了挽回女友的声誉，石非凡扎到了李非凡，给了后者巨额报酬，要求他成为梁丹妮的“临时男友”，经受不住巨大利益的诱惑，李非凡沦陷了。一边是养尊处优的女明星，一边是低眉顺眼的代驾小哥，这一对性格和身份迥异的男女凑到一起，闹出了无数的矛盾和笑料。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2454788953.jpg
3620,羞辱,齐德·多尔里,齐德·多尔里,阿德尔·卡拉姆  卡梅尔·巴沙  卡米尔·萨拉米  戴曼德·布·阿布德  丽塔·哈耶克,8.3,剧情,,,黎巴嫩 ,阿拉伯语,2017,113,一人是黎巴嫩基督徒，另一人是巴勒斯坦难民，两人因口角摩擦走上法庭。这场斗争在媒体的推动下引发了全国范围的大动荡。看似两人之间的小事，实际上牵扯出整个中东的政治及信仰问题，由此影片引发人们有关真相、信仰、人性与和平的思考。男主卡梅尔·巴沙凭借此片夺得威尼斯电影节沃尔皮杯最佳男演员。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2505204599.jpg
3621,一袋弹子,克里斯丁·杜瓦,克里斯丁·杜瓦,多里安·勒·克利奇  巴蒂斯特·弗勒里埃尔  帕特里克·布鲁尔  艾尔莎·泽贝斯坦  贝尔纳·康庞,8.3,剧情,历史,战争,法国 ,法语 ,2017,110,影片改编自法国当代著名作家约瑟夫·若福的自传小说《弹子袋》。在被德军占领的法国，莫里斯和乔是一对年轻的犹太兄弟，父亲经营着一家理发店，一家人生活温馨又美满。直到纳粹要求所有犹太人必须在外衣上缝上一个黄色的六角星以示区别，由于当时人们对犹太人的偏见，同学对他们的态度也开始转变。眼见犹太人的处境越发困窘，父亲命令两兄弟立刻先行前往自由区逃难，一家人约定在尼斯汇合。临走前父亲嘱咐不能告诉任何人他们的犹太人身份。在离开的火车上他们才真正亲眼看到了纳粹对于犹太人民的迫害。漫长的逃亡之路，纳粹仿佛无处不在，而他们惊人的机智与勇气以及陌生人的出手相助让他们躲过了一次又一次死亡的威胁，两兄弟相依为命只为与家人再次团聚。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2520545137.jpg
3622,爱情是狗娘,亚利桑德罗·冈萨雷斯·伊纳里图,吉列尔莫·阿里亚加,盖尔·加西亚·贝纳尔  巴内萨·宝切  豪尔赫·萨利纳斯  艾德里安娜·巴拉扎  胡伯托·巴斯托,8.2,剧情,惊悚,,墨西哥,西班牙语,2000,154,三个与狗有关的故事，三段令人唏嘘的人生。  奥克塔瓦（GaelGarciaBernal饰）和母亲、兄嫂住在一起，哥哥阿米罗（MarcoPerez饰）和女人鬼混，白天在超市上班，晚上抢劫超市，对妻子苏珊娜（VanessaBauche饰）和小孩十分粗暴，奥克塔瓦慢慢爱上了苏珊娜，为了和苏珊娜私奔，他带自己的狗“高飞”参加地下斗狗比赛，赢了不少钱。谁知，快到约定私奔的日子，阿米罗和苏珊娜带着小孩离开了，还带走了他辛苦攒下的钱，气急败坏的奥克塔瓦约老对手做最后一场比赛，对方输红了眼，开枪打伤“高飞”，奥克塔瓦刺伤对手，开车逃亡，发生车祸。他和家人的生活，就此转折。  和奥克塔瓦撞车的是名模瓦雷里亚（GoyaToledo饰），她的情人丹尼尔（AlvaroGuerrero饰）刚刚离开妻子，二人开始同居。车祸使她的职业生涯受到了很大的影响，相依为命的宠物狗“米奇”掉到地板下，更是严重打击了她的精神，生活陷入困境。  车祸现场，流浪汉玛汀捡走了“高飞”，玛汀早年为了追求理想，抛妻弃女参加游击队，出狱后成为职业杀手，但是仍然心怀平凡父亲的梦想，希望得到女儿的原谅，机缘巧合之下，他和女儿有了见面的机会，他却无法面对。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p627345397.jpg
3623,周末时光,安德鲁·海格,安德鲁·海格,汤姆·库伦  克里斯·钮  乔纳森·雷斯  劳拉·弗里曼  洛蕾托·默瑞,8.2,剧情,爱情,同性,英国,英语,2011,97,Russel（汤姆·库伦TomCullen饰）是一个同性恋者，他在人群中小心翼翼地隐藏着自己，生怕被别人发现他是同性恋。一个周末晚上，参加完朋友聚会的他来到一家GayBar寻找一夜情。他遇见了Glen（克里斯·钮ChrisNew饰）。一夜之后，Glen让Russel录下了一段他对性的看法。Glen是个在美术馆工作的艺术家。之后他们又见了几次面，在一起讨论他们的过去，他们的人生，他们对同性恋的看法，Russel也了解到Glen关于同性恋的激进观点。Glen要去美国读书，在告别派对上，他们两人偷偷溜了出来，享受了最后只属于他们两人的时光。第二天，Glen即将离开，Russel得去参加朋友女儿的生日聚会。但在聚会上，Russel又无法停止对Glen的思念，他最终还是决定去找Glen......  这部英国电影在2011年3月美国德克萨斯州奥斯丁的SXSW电影节上首映，收获了不少好评。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1398423664.jpg
3624,灵魂冲浪人,肖恩·麦克纳马拉,肖恩·麦克纳马拉,安娜索菲亚·罗伯  海伦·亨特  丹尼斯·奎德  嘉丽·安德伍德  凯文·索伯,8.2,剧情,传记,运动,美国,英语,2011,106,影片只用了40天便拍摄完成，全片使用35mm的胶片摄制。  影片改编自2004年出版的传记文学《灵魂冲浪：一个关于信念、家庭和重新站上冲浪板的真实故事》。  成长在夏威夷考艾岛的贝瑟尼·汉密尔顿（安娜索菲亚·罗伯AnnaSophiaRobb饰）是一个天生的冲浪天才，从小就展示出了在冲浪方面的过人的才华。她与好友埃兰娜（洛琳·尼科尔森LorraineNicholson饰）一起参加了全国的冲浪比赛，并且获得了不俗的成绩。但在她13岁那一年的一个早晨，在她在冲浪的时候一条14英尺长的虎鲨袭击了她，咬下了她的左臂。一瞬间，她的生活和未来都被冲垮了。就在所有人都在准备为她另谋出路的时候，她决定用自己残缺的身体重返冲浪的赛场。在好朋友汤姆、切瑞和萨拉的帮助下，她用自己惊人的毅力重新起立，站在了冲浪板和浪头之上。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p842406558.jpg
3625,刘三姐,苏里,乔羽,黄婉秋  刘世龙  张巨光  梁音  张文君,8.2,剧情,音乐,戏曲,中国大陆,汉语普通话,1960,112,根据广西壮族民间传说改编而成的戏曲电影。  砍柴女刘三姐（黄婉秋）以唱帮穷苦人解气的山歌名闻四乡，却也因此被视她为肉中刺的财主陷害，幸运捡得一条命后，她一路歌声沿江而下。老渔夫（张巨克）和儿子阿牛（刘世龙）通过歌声将她辨出，将她接入家中。远近乡民听闻，都赶来与刘三姐赛歌，以为她已人头落地的哥哥刘二（梁音）也因此机与她重逢。因为歌词中多处直揭财主对穷苦人的盘剥，乡民叫好同时亦令当地财主莫怀仁（夏宗学）极为恐慌。  为防乡民暴动，莫怀仁想以淫威令刘三姐噤声，只换回自己的难堪，刘三姐言称若赛歌胜过她，她自不会开口再唱。刘二怕妹妹重蹈覆辙，想带她远走他处，但刘三姐誓要好好惩治莫怀仁。莫怀仁找来一帮酸臭文人信心满满与刘三姐赛歌，不想个个被她骂得狗血喷头。为让刘三姐屈服，莫怀仁暗中将她绑至府中，施以锦衣美食，只换来刘三姐的几声冷笑。早已与刘三姐暗中生情的阿牛、刘二及众乡民，则颇为担忧她的安危，正想办法将她营救。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2502176435.jpg
3626,巴顿·芬克,乔尔·科恩,伊桑·科恩,约翰·特托罗  约翰·古德曼  朱迪·戴维斯  迈克尔·勒纳  约翰·马奥尼,8.1,剧情,悬疑,惊悚,美国 ,英语,1991,116,巴顿（约翰?特托罗JohnTurturro饰）是纽约的一名优秀的编剧，他的剧本刚刚在百老汇得到认可，好事便接踵而来。好莱坞的一间电影公司邀请他到当地创作一部关于摔角的B级片剧本，于是，巴顿便来到了好莱坞。巴顿租住在一间破败的旅馆中开始了他的创作，无奈灵感却迟迟未光临，他陷入了巨大的苦闷当中。更不幸的是，此刻，巴顿隔壁的房间里发生了种种怪事，使他犹如置身于人间炼狱，脑海中不时浮现出种种荒诞可笑的幻象……,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1058380546.jpg
