id,title,director,writer,actors,score,style1,style2,style3,country,language,release_date,running_time,Introduction,img
0,利刃出鞘,莱恩·约翰逊,莱恩·约翰逊,丹尼尔·克雷格  安娜·德·阿玛斯  克里斯·埃文斯  杰米·李·柯蒂斯  迈克尔·珊农,8.2,剧情,喜剧,悬疑,美国,英语 ,2019,130,富豪小说家哈兰·斯隆比在自己85岁生日第二天，被发现在自家庄园离奇自杀，遗留了亿万遗产。久负盛名的大侦探布兰科（丹尼尔·克雷格饰）突然被匿名人士雇佣调查此案真相。同时，哈兰的孙子兰森（克里斯·埃文斯饰）也正在秘密调查此案。当布兰科和哈兰·斯隆比家族的其他人对谈时，他发现事情并没有想象中那么简单。  哈兰家族没有表面上那么和睦，每个人都有着不可告人的秘密，每个人都想得到遗产……究竟这起命案是自杀还是他杀？似乎每个人都有嫌疑。随着一位遗产继承人的意外亮相，真相谜底渐渐浮出水面……,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2574172427.jpg
1,惊天营救,山姆·哈格雷夫,乔·罗素,克里斯·海姆斯沃斯  大卫·哈伯  格什菲·法拉哈尼  德里克·卢克  兰迪普·弘达,7.1,剧情,动作,,美国,英语,2020,117,泰勒·雷克（克里斯·海姆斯沃斯饰）是一名无所畏惧的黑市雇佣兵，一无所有的他奉命营救入狱的黑帮大佬被绑架的儿子。但是在充斥着武器交易商和毒贩的阴暗地下世界中，本就致命的任务更是难以完成，并彻底地改变了雷克和男孩的命运。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2593425210.jpg
2,校园情圣,伍思薇,伍思薇,利·刘易斯  丹尼尔·迪默  艾丽克西斯·勒梅尔  邹兆龙  贝琦·安·贝克,8.1,喜剧,爱情,,美国,英语 ,2020,104,一个害羞内向、成绩全A的美籍华裔高中女生EllieChu（LeahLewis饰），受雇为一个善良但不善言辞的运动员男孩PaulMunksy(DanielDiemer饰），帮助他撰写情书和浪漫对话来获得校园里受欢迎的女生AsterFlores（AlexxisLemire饰）的好感，但在这过程中Ellie意识到他们对同一个女生有了感觉…事情开始变得复杂起来。  电影将于2020年4月亮相翠贝卡电影节。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2594916975.jpg
3,肖申克的救赎,弗兰克·德拉邦特,弗兰克·德拉邦特,蒂姆·罗宾斯  摩根·弗里曼  鲍勃·冈顿  威廉姆·赛德勒  克兰西·布朗,9.7,剧情,犯罪,,美国,英语,1994,142,20世纪40年代末，小有成就的青年银行家安迪（蒂姆·罗宾斯TimRobbins饰）因涉嫌杀害妻子及她的情人而锒铛入狱。在这座名为肖申克的监狱内，希望似乎虚无缥缈，终身监禁的惩罚无疑注定了安迪接下来灰暗绝望的人生。未过多久，安迪尝试接近囚犯中颇有声望的瑞德（摩根·弗里曼MorganFreeman饰），请求对方帮自己搞来小锤子。以此为契机，二人逐渐熟稔，安迪也仿佛在鱼龙混杂、罪恶横生、黑白混淆的牢狱中找到属于自己的求生之道。他利用自身的专业知识，帮助监狱管理层逃税、洗黑钱，同时凭借与瑞德的交往在犯人中间也渐渐受到礼遇。表面看来，他已如瑞德那样对那堵高墙从憎恨转变为处之泰然，但是对自由的渴望仍促使他朝着心中的希望和目标前进。而关于其罪行的真相，似乎更使这一切朝前推进了一步……  本片根据著名作家斯蒂芬·金（StephenEdwinKing）的原著改编。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
4,千与千寻,宫崎骏,宫崎骏,柊瑠美  入野自由  夏木真理  菅原文太  中村彰男,9.4,剧情,动画,奇幻,日本,日语,2019,125,千寻和爸爸妈妈一同驱车前往新家，在郊外的小路上不慎进入了神秘的隧道——他们去到了另外一个诡异世界—一个中世纪的小镇。远处飘来食物的香味，爸爸妈妈大快朵颐，孰料之后变成了猪！这时小镇上渐渐来了许多样子古怪、半透明的人。  千寻仓皇逃出，一个叫小白的人救了他，喂了她阻止身体消失的药，并且告诉她怎样去找锅炉爷爷以及汤婆婆，而且必须获得一份工作才能不被魔法变成别的东西。  千寻在小白的帮助下幸运地获得了一份在浴池打杂的工作。渐渐她不再被那些怪模怪样的人吓倒，并从小玲那儿知道了小白是凶恶的汤婆婆的弟子。  一次，千寻发现小白被一群白色飞舞的纸人打伤，为了救受伤的小白，她用河神送给她的药丸驱出了小白身体内的封印以及守封印的小妖精，但小白还是没有醒过来。  为了救小白，千寻又踏上了她的冒险之旅。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
5,少年的你,曾国祥,林咏琛,周冬雨  易烊千玺  尹昉  周也  吴越,8.3,剧情,爱情,犯罪,中国大陆,汉语普通话,2019,135,陈念（周冬雨饰）是一名即将参加高考的高三学生，同校女生胡晓蝶（张艺凡饰）的跳楼自杀让她的生活陷入了困顿之中。胡晓蝶死后，陈念遭到了以魏莱（周也饰）为首的三人组的霸凌，魏莱虽然表面上看来是乖巧的优等生，实际上却心思毒辣，胡晓蝶的死和她有着千丝万缕的联系。  一次偶然中，陈念邂逅了名为小北（易烊千玺饰）的小混混，随着时间的推移，心心相惜的两人之间产生了真挚的感情。小北答应陈念在暗中保护她免受魏莱的欺凌，没想到这一决定引发了一连串的连锁反应。负责调查胡晓蝶死因的警官郑易（尹昉饰）隐隐察觉到校园里的古怪气氛，可他的调查却屡屡遭到校方的阻挠。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2572166063.jpg
6,疯狂动物城,拜伦·霍华德,拜伦·霍华德,金妮弗·古德温  杰森·贝特曼  伊德里斯·艾尔巴  珍妮·斯蕾特  内特·托伦斯,9.2,喜剧,动画,冒险,美国,英语 ,2016,109,故事发生在一个所有哺乳类动物和谐共存的美好世界中，兔子朱迪（金妮弗·古德温GinniferGoodwin配音）从小就梦想着能够成为一名惩恶扬善的刑警，凭借着智慧和努力，朱迪成功的从警校中毕业进入了疯狂动物城警察局，殊不知这里是大型肉食类动物的领地，作为第一只，也是唯一的小型食草类动物，朱迪会遇到怎样的故事呢？  近日里，城中接连发生动物失踪案件，就在全部警员都致力于调查案件真相之时，朱迪却被局长（伊德瑞斯·艾尔巴IdrisElba配音）发配成为了一名无足轻重的交警。某日，正在执勤的兔子遇见了名为尼克（杰森·贝特曼JasonBateman配音）的狐狸，两人不打不相识，之后又误打误撞的接受了寻找失踪的水獭先生的任务，如果不能在两天之内找到水獭先生，朱迪就必须自愿离开警局。朱迪找到了尼克，两人联手揭露了一个隐藏在疯狂动物城之中的惊天秘密。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg
7,哪吒之魔童降世,饺子,饺子,吕艳婷  囧森瑟夫  瀚墨  陈浩  绿绮,8.5,剧情,喜剧,动画,中国大陆,汉语普通话,2019,110,天地灵气孕育出一颗能量巨大的混元珠，元始天尊将混元珠提炼成灵珠和魔丸，灵珠投胎为人，助周伐纣时可堪大用；而魔丸则会诞出魔王，为祸人间。元始天尊启动了天劫咒语，3年后天雷将会降临，摧毁魔丸。太乙受命将灵珠托生于陈塘关李靖家的儿子哪吒身上。然而阴差阳错，灵珠和魔丸竟然被掉包。本应是灵珠英雄的哪吒却成了混世大魔王。调皮捣蛋顽劣不堪的哪吒却徒有一颗做英雄的心。然而面对众人对魔丸的误解和即将来临的天雷的降临，哪吒是否命中注定会立地成魔？他将何去何从？,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2563780504.jpg
8,我不是药神,文牧野,韩家女,徐峥  王传君  周一围  谭卓  章宇,9,剧情,喜剧,,中国大陆,汉语普通话 ,2018,117,普通中年男子程勇（徐峥饰）经营着一家保健品店，失意又失婚。不速之客吕受益（王传君饰）的到来，让他开辟了一条去印度买药做“代购”的新事业，虽然困难重重，但他在这条“买药之路”上发现了商机，一发不可收拾地做起了治疗慢粒白血病的印度仿制药独家代理商。赚钱的同时，他也认识了几个病患及家属，为救女儿被迫做舞女的思慧（谭卓饰）、说一口流利“神父腔”英语的刘牧师（杨新鸣饰），以及脾气暴烈的“黄毛”（章宇饰），几个人合伙做起了生意，利润倍增的同时也危机四伏。程勇昔日的小舅子曹警官（周一围饰）奉命调查仿制药的源头，假药贩子张长林（王砚辉饰）和瑞士正牌医药代表（李乃文饰）也对其虎视眈眈，生意逐渐变成了一场关于救赎的拉锯战。  本片改编自慢粒白血病患者陆勇代购抗癌药的真实事迹。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg
9,误杀,柯汶利,杨薇薇,肖央  谭卓  陈冲  姜皓文  秦沛,7.7,剧情,悬疑,犯罪,中国大陆,汉语普通话,2019,112,李维杰与妻子阿玉来泰打拼17年，膝下育有两个女儿，年届四十的他靠开设网络公司为生，为人也颇得小镇居民的好感，而这一切美好却被突如其来的不速之客打破。这个充斥走私，贩毒活动的边陲小镇，各种权力交织碾压公平正义。李维杰的大女儿被督察长的儿子强暴，因反抗误杀对方。李维杰曾亲眼目睹督察长滥用私刑，深知法律无用，为了维护女儿，捍卫家人，李维杰埋尸掩盖一切证据，在时间与空间的交错缝隙中，与警方在身心层面，展开了殊死一搏的较量。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2576090251.jpg
10,摔跤吧！爸爸,涅提·蒂瓦里,比于什·古普塔,阿米尔·汗  法缇玛·萨那·纱卡  桑亚·玛荷塔  阿帕尔夏克提·库拉那  沙克希·坦沃,9,剧情,家庭,传记,印度,印地语,2017,161,马哈维亚（阿米尔·汗AamirKhan饰）曾经是一名前途无量的摔跤运动员，在放弃了职业生涯后，他最大的遗憾就是没有能够替国家赢得金牌。马哈维亚将这份希望寄托在了尚未出生的儿子身上，哪知道妻子接连给他生了两个女儿，取名吉塔（法缇玛·萨那·纱卡FatimaSanaShaikh饰）和巴比塔（桑亚·玛荷塔SanyaMalhotra饰）。让马哈维亚没有想到的是，两个姑娘展现出了杰出的摔跤天赋，让他幡然醒悟，就算是女孩，也能够昂首挺胸的站在比赛场上，为了国家和她们自己赢得荣誉。  就这样，在马哈维亚的指导下，吉塔和巴比塔开始了艰苦的训练，两人进步神速，很快就因为在比赛中连连获胜而成为了当地的名人。为了获得更多的机会，吉塔进入了国家体育学院学习，在那里，她将面对更大的诱惑和更多的选择。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg
11,泰坦尼克号,詹姆斯·卡梅隆,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥  凯特·温丝莱特  比利·赞恩  凯西·贝茨  弗兰西丝·费舍,9.4,剧情,爱情,灾难,美国,英语 ,1998,194,1912年4月10日，号称“世界工业史上的奇迹”的豪华客轮泰坦尼克号开始了自己的处女航，从英国的南安普顿出发驶往美国纽约。富家少女罗丝（凯特?温丝莱特）与母亲及未婚夫卡尔坐上了头等舱；另一边，放荡不羁的少年画家杰克（莱昂纳多·迪卡普里奥）也在码头的一场赌博中赢得了下等舱的船票。  罗丝厌倦了上流社会虚伪的生活，不愿嫁给卡尔，打算投海自尽，被杰克救起。很快，美丽活泼的罗丝与英俊开朗的杰克相爱，杰克带罗丝参加下等舱的舞会、为她画像，二人的感情逐渐升温。  1912年4月14日，星期天晚上，一个风平浪静的夜晚。泰坦尼克号撞上了冰山，“永不沉没的”泰坦尼克号面临沉船的命运，罗丝和杰克刚萌芽的爱情也将经历生死的考验。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
12,怦然心动,罗伯·莱纳,罗伯·莱纳,玛德琳·卡罗尔  卡兰·麦克奥利菲  瑞贝卡·德·莫妮  安东尼·爱德华兹  约翰·马奥尼,9.1,剧情,喜剧,爱情,美国,英语,2010,90,布莱斯（卡兰?麦克奥利菲CallanMcAuliffe饰）全家搬到小镇，邻家女孩朱丽（玛德琳?卡罗尔MadelineCarroll饰）前来帮忙。她对他一见钟情，心愿是获得他的吻。两人是同班同学，她一直想方设法接近他，但是他避之不及。她喜欢爬在高高的梧桐树上看风景。但因为施工，树被要被砍掉，她誓死捍卫，希望他并肩作战，但是他退缩了。她的事迹上了报纸，外公对她颇有好感，令他十分困惑。她凭借鸡下蛋的项目获得了科技展第一名，成了全场焦点，令他黯然失色。她把自家鸡蛋送给他，他听家人怀疑她家鸡蛋不卫生，便偷偷把鸡蛋丢掉。她得知真相，很伤心，两人关系跌入冰点。她跟家人诉说，引发争吵。原来父亲一直攒钱照顾傻弟弟，所以生活拮据。她理解了父母，自己动手，还得到了他外公的鼎力相助。他向她道歉，但是并未解决问题。他开始关注她。鸡蛋风波未平，家庭晚宴与午餐男孩评选又把两人扯在了一起……,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg
13,这个杀手不太冷,吕克·贝松,吕克·贝松,让·雷诺  娜塔莉·波特曼  加里·奥德曼  丹尼·爱罗  彼得·阿佩尔,9.4,剧情,动作,犯罪,法国,英语 ,1994,110,里昂（让·雷诺饰）是名孤独的职业杀手，受人雇佣。一天，邻居家小姑娘马蒂尔达（纳塔丽·波特曼饰)敲开他的房门，要求在他那里暂避杀身之祸。原来邻居家的主人是警方缉毒组的眼线，只因贪污了一小包毒品而遭恶警（加里·奥德曼饰）杀害全家的惩罚。马蒂尔达得到里昂的留救，幸免于难，并留在里昂那里。里昂教小女孩使枪，她教里昂法文，两人关系日趋亲密，相处融洽。  女孩想着去报仇，反倒被抓，里昂及时赶到，将女孩救回。混杂着哀怨情仇的正邪之战渐次升级，更大的冲突在所难免……,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg
14,流浪地球,郭帆,龚格尔,屈楚萧  吴京  李光洁  吴孟达  赵今麦,7.9,科幻,冒险,灾难,中国大陆,汉语普通话 ,2019,125,近未来，科学家们发现太阳急速衰老膨胀，短时间内包括地球在内的整个太阳系都将被太阳所吞没。为了自救，人类提出一个名为“流浪地球”的大胆计划，即倾全球之力在地球表面建造上万座发动机和转向发动机，推动地球离开太阳系，用2500年的时间奔往另外一个栖息之地。中国航天员刘培强（吴京饰）在儿子刘启四岁那年前往国际空间站，和国际同侪肩负起领航者的重任。转眼刘启（屈楚萧饰）长大，他带着妹妹朵朵（赵今麦饰）偷偷跑到地表，偷开外公韩子昂（吴孟达饰）的运输车，结果不仅遭到逮捕，还遭遇了全球发动机停摆的事件。为了修好发动机，阻止地球坠入木星，全球开始展开饱和式营救，连刘启他们的车也被强征加入。在与时间赛跑的过程中，无数的人前仆后继，奋不顾身，只为延续百代子孙生存的希望……  本片根据刘慈欣的同名小说改编。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2545472803.jpg
15,霸王别姬,陈凯歌,芦苇,张国荣  张丰毅  巩俐  葛优  英达,9.6,剧情,爱情,同性,中国大陆 ,汉语普通话,1993,171,段小楼（张丰毅）与程蝶衣（张国荣）是一对打小一起长大的师兄弟，两人一个演生，一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》，更是誉满京城，为此，两人约定合演一辈子《霸王别姬》。但两人对戏剧与人生关系的理解有本质不同，段小楼深知戏非人生，程蝶衣则是人戏不分。  段小楼在认为该成家立业之时迎娶了名妓菊仙（巩俐），致使程蝶衣认定菊仙是可耻的第三者，使段小楼做了叛徒，自此，三人围绕一出《霸王别姬》生出的爱恨情仇战开始随着时代风云的变迁不断升级，终酿成悲剧。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
16,阿甘正传,罗伯特·泽米吉斯,艾瑞克·罗斯,汤姆·汉克斯  罗宾·怀特  加里·西尼斯  麦凯尔泰·威廉逊  莎莉·菲尔德,9.5,剧情,爱情,,美国,英语,1994,142,阿甘（汤姆·汉克斯饰）于二战结束后不久出生在美国南方阿拉巴马州一个闭塞的小镇，他先天弱智，智商只有75，然而他的妈妈是一个性格坚强的女性，她常常鼓励阿甘“傻人有傻福”，要他自强不息。  阿甘像普通孩子一样上学，并且认识了一生的朋友和至爱珍妮（罗宾·莱特·潘饰），在珍妮和妈妈的爱护下，阿甘凭着上帝赐予的“飞毛腿”开始了一生不停的奔跑。  阿甘成为橄榄球巨星、越战英雄、乒乓球外交使者、亿万富翁，但是，他始终忘不了珍妮，几次匆匆的相聚和离别，更是加深了阿甘的思念。  有一天，阿甘收到珍妮的信，他们终于又要见面……,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1484728154.jpg
17,寻梦环游记,李·昂克里奇,阿德里安·莫利纳,安东尼·冈萨雷斯  盖尔·加西亚·贝纳尔  本杰明·布拉特  阿兰娜·乌巴赫  芮妮·维克托,9.1,喜剧,动画,音乐,美国,英语 ,2017,105,热爱音乐的米格尔（安东尼·冈萨雷兹AnthonyGonzalez配音）不幸地出生在一个视音乐为洪水猛兽的大家庭之中，一家人只盼着米格尔快快长大，好继承家里传承了数代的制鞋产业。一年一度的亡灵节即将来临，每逢这一天，去世的亲人们的魂魄便可凭借着摆在祭坛上的照片返回现世和生者团圆。  在一场意外中，米格尔竟然穿越到了亡灵国度之中，在太阳升起之前，他必须得到一位亲人的祝福，否则就将会永远地留在这个世界里。米格尔决定去寻找已故的歌神德拉库斯（本杰明·布拉特BenjaminBratt配音），因为他很有可能就是自己的祖父。途中，米格尔邂逅了落魄乐手埃克托（盖尔·加西亚·贝纳尔GaelGarcíaBernal配音），也渐渐发现了德拉库斯隐藏已久的秘密。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.jpg
18,你的名字。,新海诚,新海诚,神木隆之介  上白石萌音  长泽雅美  市原悦子  成田凌,8.4,剧情,爱情,动画,日本,日语,2016,106,在远离大都会的小山村，住着巫女世家出身的高中女孩宫水三叶（上白石萌音配音）。校园和家庭的原因本就让她充满烦恼，而近一段时间发生的奇怪事件，又让三叶摸不清头脑。不知从何时起，三叶在梦中就会变成一个住在东京的高中男孩。那里有陌生的同学和朋友，有亲切的前辈和繁华的街道，一切都是如此诱人而真实。另一方面，住在东京的高中男孩立花泷（神木隆之介配音）则总在梦里来到陌生的小山村，以女孩子的身份过着全新的生活。许是受那颗神秘彗星的影响，立花和三叶在梦中交换了身份。他们以他者的角度体验着对方的人生，这期间有愤怒、有欢笑也有暖心。只是两人并不知道，身份交换的背后隐藏着重大而锥心的秘密……  本片为2016年度日本本土影片票房冠军。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg
19,三傻大闹宝莱坞,拉吉库马尔·希拉尼,维德胡·维诺德·乔普拉,阿米尔·汗  卡琳娜·卡普尔  马达范  沙尔曼·乔希  奥米·瓦依达,9.2,剧情,喜剧,爱情,印度,印地语 ,2011,171,本片根据印度畅销书作家奇坦·巴哈特（ChetanBhagat）的处女作小说《五点人》（FivePointSomeone）改编而成。法兰（马德哈万RMadhavan饰）、拉杜（沙曼·乔希SharmanJoshi饰）与兰乔（阿米尔·汗AamirKhan饰）是皇家工程学院的学生，三人共居一室，结为好友。在以严格著称的学院里，兰乔是个非常与众不同的学生，他不死记硬背，甚至还公然顶撞校长“病毒”（波曼·伊拉尼BomanIrani饰），质疑他的教学方法。他不仅鼓动法兰与拉杜去勇敢追寻理想，还劝说校长的二女儿碧雅（卡琳娜·卡普KareenaKapoor饰）离开满眼铜臭的未婚夫。兰乔的特立独行引起了模范学生“消音器”（奥米·维嘉OmiVaidya饰）的不满，他约定十年后再与兰乔一决高下，看哪种生活方式更能取得成功。  本片获孟买电影博览奖最佳影片、最佳导演、最佳配角（波曼·伊拉尼）、最佳剧本等六项大奖，并获国际印度电影协会最佳影片、最佳导演、最佳剧情、最佳摄影等十六项大奖。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
20,楚门的世界,彼得·威尔,安德鲁·尼科尔,金·凯瑞  劳拉·琳妮  艾德·哈里斯  诺亚·艾默里奇  娜塔莎·麦克艾霍恩,9.3,剧情,科幻,,美国,英语,1998,103,楚门（金?凯瑞JimCarrey饰）是一个平凡得不能再平凡的人，除了一些有些稀奇的经历之外——初恋女友突然失踪、溺水身亡的父亲忽然似乎又出现在眼前，他和绝大多数30多岁的美国男人绝无异样。这令他倍感失落。他也曾试过离开自己生活了多年的地方，但总因种种理由而不能成行。  直到有一天，他忽然发觉自己似乎一直在被人跟踪，无论他走到哪里，干什么事情。这种感觉愈来愈强烈。楚门决定不惜一切代价逃离这个他生活了30多年的地方，去寻找他的初恋女友。  但他却发现自己怎样也逃不出去。真相其实很残忍。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
21,大话西游之大圣娶亲,刘镇伟,刘镇伟,周星驰  吴孟达  朱茵  蔡少芬  蓝洁瑛,9.2,喜剧,爱情,奇幻,中国香港 ,粤语 ,1995,95,至尊宝（周星驰饰）被月光宝盒带回到五百年前，遇见紫霞仙子（朱茵饰），被对方打上烙印成为对方的人，并发觉自己已变成孙悟空。  紫霞与青霞（朱茵饰）本是如来佛祖座前日月神灯的灯芯（白天是紫霞，晚上是青霞），二人虽然同一肉身却仇恨颇深，因此紫霞立下誓言，谁能拔出她手中的紫青宝剑，谁就是她的意中人。紫青宝剑被至尊宝于不经意间拔出，紫霞决定以身相许，却遭一心记挂白晶晶（莫文蔚饰）的至尊宝拒绝。后牛魔王救下迷失在沙漠中的紫霞，并逼紫霞与他成婚，关键时刻，至尊宝现身。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
22,让子弹飞,姜文,朱苏进,姜文  葛优  周润发  刘嘉玲  陈坤,8.8,剧情,喜剧,动作,中国大陆 ,汉语普通话 ,2010,132,民国年间，花钱捐得县长的马邦德（葛优饰）携妻（刘嘉玲饰）及随从走马上任。途经南国某地，遭劫匪张麻子（姜文饰）一伙伏击，随从尽死，只夫妻二人侥幸活命。马为保命，谎称自己是县长的汤师爷。为汤师爷许下的财富所动，张麻子摇身一变化身县长，带着手下赶赴鹅城上任。有道是天高皇帝远，鹅城地处偏僻，一方霸主黄四郎（周润发饰）只手遮天，全然不将这个新来的县长放在眼里。张麻子痛打了黄的武教头（姜武饰），黄则设计害死张的义子小六（张默饰）。原本只想赚钱的马邦德，怎么也想不到竟会被卷入这场土匪和恶霸的角力之中。鹅城上空愁云密布，血雨腥风在所难免……  本片根据马识途的小说《夜谭十记》中的《盗官记》一章改编。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg
23,海上钢琴师,朱塞佩·托纳多雷,亚利桑德罗·巴里克,蒂姆·罗斯  普路特·泰勒·文斯  比尔·努恩  克兰伦斯·威廉姆斯三世  梅兰尼·蒂埃里,9.3,剧情,音乐,,意大利,英语 ,2019,165,本片讲述了一个钢琴天才传奇的一生。  1900年，Virginian号豪华邮轮上，一个孤儿被遗弃在头等舱，由船上的水手抚养长大，取名1900（蒂姆?罗斯饰）。1900慢慢长大，显示出了无师自通的非凡钢琴天赋，在船上的乐队表演钢琴，每个听过他演奏的人，都被深深打动。爵士乐鼻祖杰尼听说了1900的高超技艺，专门上船和他比赛，最后自叹弗如，黯然离去。  可惜，这一切的事情都发生在海上，1900从来不愿踏上陆地，直到有一天，他爱上了一个女孩，情愫在琴键上流淌。他会不会为了爱情，踏上陆地开始新的生活，用他的琴声惊艳世界？他将怎样谱写自己非凡的人生。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg
24,盗梦空间,克里斯托弗·诺兰,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥  约瑟夫·高登-莱维特  艾伦·佩吉  汤姆·哈迪  渡边谦,9.3,剧情,科幻,悬疑,美国 ,英语 ,2010,148,道姆·柯布（莱昂纳多·迪卡普里奥LeonardoDiCaprio饰）与同事阿瑟（约瑟夫·戈登-莱维特JosephGordon-Levitt饰）和纳什（卢卡斯·哈斯LukasHaas饰）在一次针对日本能源大亨齐藤（渡边谦饰）的盗梦行动中失败，反被齐藤利用。齐藤威逼利诱因遭通缉而流亡海外的柯布帮他拆分他竞争对手的公司，采取极端措施在其唯一继承人罗伯特·费希尔（希里安·墨菲CillianMurphy饰）的深层潜意识中种下放弃家族公司、自立门户的想法。为了重返美国，柯布偷偷求助于岳父迈尔斯（迈克尔·凯恩MichaelCaine饰），吸收了年轻的梦境设计师艾里阿德妮（艾伦·佩吉EllenPage饰）、梦境演员艾姆斯（汤姆·哈迪TomHardy饰）和药剂师约瑟夫（迪利普·劳DileepRao饰）加入行动。在一层层递进的梦境中，柯布不仅要对付费希尔潜意识的本能反抗，还必须直面已逝妻子梅尔（玛丽昂·歌迪亚MarionCotillard饰）的处处破坏，实际情况远比预想危险得多……,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
25,绿皮书,彼得·法雷里,尼克·瓦莱隆加,维果·莫腾森  马赫沙拉·阿里  琳达·卡德里尼  塞巴斯蒂安·马尼斯科  迪米特·D·马里诺夫,8.9,剧情,喜剧,传记,美国,英语 ,2019,130,托尼（维果·莫腾森ViggoMortensen饰）是一个吊儿郎当游手好闲的混混，在一家夜总会做侍者。这间夜总会因故要停业几个月，可托尼所要支付的房租和生活费不会因此取消，所以他的当务之急是去寻找另一份工作来填补这几个月的空缺。在这个节骨眼上，一位名叫唐雪莉（马赫沙拉·阿里MahershalaAli饰）的黑人钢琴家提出雇佣托尼。  唐雪莉即将开始为期八个星期的南下巡回演出，可是，那个时候南方对黑人的歧视非常的严重，于是托尼便成为了唐雪莉的司机兼保镖。一路上，两人迥异的性格使得他们之间产生了很多的矛盾，与此同时，唐雪莉在南方所遭受的种种不公平的对待也让托尼对种族歧视感到深恶痛绝。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg
26,饥饿站台,加尔德·加兹特鲁·乌鲁蒂亚,大卫·德索拉,伊万·马萨格  佐里昂·伊圭里奥尔  安东尼亚·圣胡安  埃米利奥·布阿勒  亚历山德拉·玛桑凯,7.8,科幻,惊悚,,西班牙,西班牙语,2019,94,在未来的反乌托邦国度中，囚犯们被关押在垂直堆叠的牢房里，饥肠辘辘地看着食物从上层落下，靠近顶层的人吃得饱饱的，而位于底层的人则因饥饿而变得激进。  由加尔德·加斯特卢-乌鲁希亚执导的《饥饿站台》是一部扭曲的社会寓言，讲述了人类最黑暗和最饥渴的一面。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2566870171.jpg
27,绅士们,盖·里奇,盖·里奇,马修·麦康纳  查理·汉纳姆  休·格兰特  亨利·戈尔丁  米歇尔·道克瑞,8.3,剧情,喜剧,犯罪,英国 ,英语,2020,113,美国移民MickeyPearson（马修·麦康纳饰）成功在英国伦敦建立大麻帝国，发了大财后，他试图将资产转卖给一个美国富豪。然而风声走漏，一连串的阴谋及谎言开始从Mickey展开…私家侦探Fletcher（休·格兰特饰）用尽各种手段，收集所有Mickey的黑材料，企图从中得利。这时，新崛起的唐人街帮会龙头DryEye（亨利·戈尔丁饰）对Mickey的生意虎视眈眈，最后…Mickey如何保护自己的生意与生命呢？,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2592522995.jpg
28,寄生虫,奉俊昊,奉俊昊,宋康昊  李善均  赵汝贞  崔宇植  朴素丹,8.7,剧情,喜剧,,韩国,韩语 ,2019,132,基宇（崔宇植饰）出生在一个贫穷的家庭之中，和妹妹基婷（朴素丹饰）以及父母在狭窄的地下室里过着相依为命的日子。一天，基宇的同学上门拜访，他告诉基宇，自己在一个有钱人家里给他们的女儿做家教，太太是一个头脑简单出手又阔绰的女人，因为自己要出国留学，所以将家教的职位暂时转交给基宇。  就这样，基宇来到了朴社长（李善均饰）家中，并且见到了他的太太（赵汝贞饰），没过多久，基宇的妹妹和父母也如同寄生虫一般的进入了朴社长家里工作。然而，他们的野心并没有止步于此，基宇更是和大小姐坠入了爱河。随着时间的推移，朴社长家里隐藏的秘密渐渐浮出了水面。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg
